num,Name,RA,DEC,pmra,pmdec,V mag,R mag,I mag,otype,spt
164,fVel,08:50:33.4606,-46:31:45.075,-0.0002867333333333334,0.0033220000000000003,5.11,5.2,5.36,EB*,B1Ib
165,HD75860,08:50:53.2406,-43:45:05.435,-0.0003240000000000001,0.0030600000000000002,7.58,6.83,6.23,BlueSG*,B1.5Iabp
166,HD76968,08:57:28.8524,-50:44:58.197,-0.00013306666666666668,0.000421,7.21,7.01,6.87,V*,O9.2Ib
167,HD77320,09:00:22.2552,-43:10:26.376,-0.0006039333333333333,-0.00011600000000000001,6.08,6.07,6.19,Be*,B2Vnn(e)
168,VGPVel,09:02:06.8608,-40:33:16.899,-0.0003214666666666667,0.009282,6.87,6.31,6.05,HMXB,B0.5Ia
169,cVel,09:04:09.2798,-47:05:51.854,-0.003163333333333334,-0.00975,3.75,2.93,2.33,PM*,K2III
170,lamVel,09:07:59.7578,-43:25:57.327,-0.001600666666666667,0.013519999999999999,2.21,0.97,0.03,LPV*,K4Ib
171,VBGVel,09:08:15.7484,-51:26:10.606,-0.0006938666666666668,0.005729000000000001,7.69,,6.337,deltaCep,F7/8II
172,HD79186,09:11:04.3980,-44:52:04.448,-0.0003776666666666667,0.004348,5.0,4.71,4.49,BlueSG*,B5Ia
173,betCar,09:13:11.9774,-69:43:01.947,-0.010431333333333334,0.10895,1.69,1.63,1.61,PM*,A1III-
174,lVel,09:15:36.7081,-38:34:11.794,-0.004735866666666667,-0.010227,4.94,4.15,3.58,PM*,K1III
175,kVel,09:15:45.0797,-37:24:47.317,0.0009239333333333334,-0.007738000000000001,4.62,4.24,3.96,Star,F3/5V
176,iotCar,09:17:05.4068,-59:16:30.835,-0.0012573333333333334,0.011980000000000001,2.26,2.02,1.82,V*,A7Ib
177,HD80558,09:18:42.3559,-51:33:38.338,-0.00038553333333333345,0.004178,5.93,5.36,4.94,BlueSG*,B6Ia
178,VVVel,09:22:16.1680,-55:57:37.153,-0.0006696000000000002,0.014068,7.57,,6.695,deltaCep,F8II
179,epsAnt,09:29:14.7196,-35:57:04.807,-0.0016460000000000003,0.00504,4.51,3.5,2.74,Star,K3III
180,psiVel,09:30:41.9995,-40:28:00.261,-0.009865333333333334,0.06135,3.6,3.24,3.02,**,F3VFe-0.7
181,HD82595,09:31:57.7827,-36:51:34.326,-0.0002218666666666667,0.003487,8.18,7.36,6.8,Star,K2II/III
182,VRCar,09:32:14.5961,-62:47:20.002,-0.0024194,0.019535,6.1,5.44,2.9,Mira,M5-8
183,hCar,09:34:26.6508,-59:13:47.107,-0.0007160000000000001,0.0066,4.09,4.0,4.01,Star,B5II
184,MVel,09:36:49.5400,-49:21:18.088,-0.008703333333333337,0.04298,4.35,4.2,4.1,PM*,A7V
185,HD85512,09:51:07.0518,-43:30:10.023,0.03077353333333334,-0.47188,7.651,6.934,6.319,PM*,K6Vk:
186,mVel,09:51:40.6683,-46:32:51.440,-0.0016746000000000003,0.010305,4.58,3.75,3.12,SB*,G6IIa
187,phiVel,09:56:51.7416,-54:34:04.039,-0.000872,0.0035499999999999998,3.45,3.51,3.59,Star,B5Ib
188,HD87525,10:03:52.5630,-56:11:22.883,-0.0013944666666666672,-0.000893,8.089,,6.789,RotV*,K1/2III
189,VSCar,10:09:21.8927,-61:32:56.433,-0.006244733333333335,0.076999,5.71,5.2,3.64,Mira,K5-M6e
190,HD88661,10:11:46.4595,-58:03:37.958,-0.0007478666666666669,0.00659,5.75,5.66,5.7,Be*,B5Vne
191,omeCar,10:13:44.2173,-70:02:16.456,-0.002400666666666667,0.00709,3.33,3.29,3.32,Be*,B7III
192,qVel,10:14:44.1557,-42:07:18.993,-0.010006000000000001,0.04944,3.85,3.83,3.81,PM*,A2Va
193,VRYVel,10:20:41.0315,-55:19:17.028,-0.00045560000000000007,0.0036869999999999997,7.86,,6.84,deltaCep,F5Ib/II
194,rVel,10:22:19.5848,-41:38:59.863,-0.0018480000000000003,0.060366,4.83,4.03,3.45,PM*,K1III
195,ICar,10:24:23.7059,-74:01:53.803,-0.0010860000000000002,-0.027670000000000004,4.01,3.67,3.48,V*,F3V
196,alfAnt,10:27:09.1006,-31:04:04.004,-0.0054213333333333336,0.009798,4.25,3.15,2.36,PM*,K3III
197,VV399Car,10:27:24.4704,-57:38:19.698,-0.0004918,0.0036880000000000003,4.7,4.1,3.62,Cepheid,A9/F0Ia/ab
