num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,#Notes,#V,#R,#I,#PI
46,HR4963, 13:09:57.0 , -05:32:20.4 ,2000.0,-0.0023501333333333,-0.033302,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=4.6,#4.397,#--,#--,#Haffert
31,HR4468, 11:36:40.9 , -09:48:08.1 ,2000.0,-0.0039586666666666,0.0025499999999999,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=4.7,#4.673,#--,#--,#Haffert
65,HR5692,15:18:24.51,+20:34:21.95,2016.0,-0.0008662,-0.02238,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,,#5.686,#--,#--,#Pearce
93,HD149499,16:38:31.199,-57:28:10.70,2016.0,0.0075351333333333,0.011325,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,#A,#9.11,#9.19,#7.894,#Pearce
103,CD-567708,19:25:58.54,-56:33:36.50,2016.0,0.0014654666666666,-0.038307,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,,#10.571,#--,#9.78,#Pearce
63,HD132200,14:59:09.68,-42:06:15.11,2016.0,-0.0011746666666666,-0.02251,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,"#Cal, Kappa Cen",#3.11,#--,#--,#Pearce
53,HIP67506,13:49:59.11,-42:33:40.80,2016.0,-0.0017322666666666,-0.018744,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,#Sci,#10.71,#10.73,#--,#Pearce
59,HD128266,14:41:55.80,-46:08:00.38,2016.0,-0.0006913333333333,-0.01028,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,"#Cal, a Lup",#5.431,#--,#--,#Pearce
2,HD78791,09:05:08.81,-72:36:09.74,2016.0,-0.0005873333333333,-0.00526,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,,#4.467,#--,#--,#Pearce
52,HIP67348,13:48:13.32,-39:23:39.20,2016.0,-0.0060835333333333,0.008211,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,#Cal,#9.48,#--,#--,#Pearce
51,HIP67121,13:45:23.09,-42:33:40.80,2016.0,-0.0105404666666666,-0.047254,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,#Cal,#8.58,#--,#--,#Pearce
5,HD87901,10:08:22.31,+11:58:01.95,2016.0,-0.016582,0.00559,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,#Regulus Ab,#1.4,#1.37,#1.47,#Pearce
22,HD97277,11:11:39.47,-22:49:33.05,2016.0,0.0005218,-0.102911,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,#Beta Crt,#4.449,#--,#--,#Pearce
45,REJ1309+081,13:09:29.71,+08:16:03.35,2016.0,-0.0024482,-0.008257,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,,#11.62,#11.48,#--,#Pearce
7,HD90052,10:24:05.90,+26:21:03.70,2016.0,-0.0043092,0.0153219999999999,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,,#9.26,#--,#--,#Pearce
42,LWHya,12:53:32.78,-22:52:22.56,2016.0,-0.0037347333333333,-0.013053,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2016.0,2016.0,,#9.69,#--,#--,#Pearce
90,Elia2-24,16:26:24.0886,-24:16:13.449,2000.0,-0.0005314,-0.024725,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,,#14.4,#15.81,#13.97,#Perez
81,HD143006,15:58:36.9126,-22:57:15.221,2000.0,-0.000717,-0.021026,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,,#10.14,#--,#8.7,#Perez
